"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60","GET /pokemon/0 — возвращает 404","","2026-06-26","passed","2026-06-26","","Pokemon API","",""
"","35","GET /pokemon?limit=10 — возвращает 10 покемонов","","2026-06-26","passed","2026-06-26","","Pokemon API","",""
"","1133","Успешный вход с корректными данными","","2026-06-26","passed","2026-06-26","","Авторизация","",""
"","1298","Проверяет содержимое корзины после добавления товара","","2026-06-26","passed","2026-06-26","","Отображение корзины с товаром","",""
"","1259","Проверка отображения пустой корзины","","2026-06-26","passed","2026-06-26","","Отображение пустой корзины","",""
"","43","GET /type/fire — получить информацию о типе Fire","","2026-06-26","passed","2026-06-26","","Pokemon API","",""
"","885","Ошибка при входе заблокированным пользователем","","2026-06-26","passed","2026-06-26","","Авторизация","",""
"","1054","Сортировка по названию: от А до Я (A to Z)","","2026-06-26","passed","2026-06-26","","Каталог товаров: отображение и сортировка","",""
"","1080","Ошибка при вводе неверного пароля","","2026-06-26","passed","2026-06-26","","Авторизация","",""
"","962","Сортировка по цене: от низкой к высокой","","2026-06-26","passed","2026-06-26","","Каталог товаров: отображение и сортировка","",""
"","1102","Счётчик корзины обновляется при добавлении товаров","","2026-06-26","passed","2026-06-26","","Процесс оформления заказа","",""
"","2080","Добавляем товар в корзину и удаляем его","","2026-06-26","passed","2026-06-26","","Пользовательский путь: добавление и удаление товара","",""
"","966","Сортировка по названию: от Я до А (Z to A)","","2026-06-26","passed","2026-06-26","","Каталог товаров: отображение и сортировка","",""
"","2247","Пользователь может завершить оформление заказа","","2026-06-26","passed","2026-06-26","","Процесс оформления заказа","",""
"","162","Ошибка при пустом имени пользователя","","2026-06-26","passed","2026-06-26","","Авторизация","",""
"","1107","Товары отображаются на странице и имеют корректный формат цен","","2026-06-26","passed","2026-06-26","","Каталог товаров: отображение и сортировка","",""
"","980","Сортировка по цене: от высокой к низкой","","2026-06-26","passed","2026-06-26","","Каталог товаров: отображение и сортировка","",""
"","131","GET /pokemon/bulbasaur — smoke test","","2026-06-26","passed","2026-06-26","","Pokemon API","",""
